Timestamp,MagX,MagY,MagZ,dMagX,dMagY,PWM_X,PWM_Y,CurrXPos,CurrXNeg,CurrYPos,CurrYNeg
11499048,0.4932,-0.2184,-5.2642,-17.8347,-22.4704,-51.21,53.04,0.8591,-0.8355,-0.4312,0.3817
11518217,0.5594,-0.1615,-5.3111,-0.3298,39.1618,-77.99,-16.55,0.7452,-0.7237,-0.2613,0.3129
11537386,0.6537,-0.2512,-5.5819,42.9272,-2.0158,-134.45,37.19,0.6032,-0.5839,-0.1946,0.2570
11556556,0.5472,-0.2957,-5.9023,-2.2782,-17.9785,-74.33,59.37,0.7581,-0.7387,-0.2548,0.3065
11575726,0.6925,-0.2064,-6.1065,13.3050,36.6514,-110.25,-7.76,1.0828,-1.0656,-0.2097,0.2677
11594897,0.6664,-0.2039,-6.4169,15.8963,22.5044,-109.19,6.04,0.8677,-0.8656,-0.2656,0.3215
11614067,0.7034,-0.2495,-6.7214,13.9147,15.7325,-112.40,19.20,0.9817,-0.9860,-0.4978,0.5688
11633236,0.7565,-0.2348,-6.9316,11.1604,-3.2873,-117.08,36.16,1.1000,-0.9581,-0.2785,0.1796
11652406,0.8300,-0.3151,-7.2021,19.8859,-25.7470,-136.09,69.85,1.1000,-1.0441,-0.2720,0.3538
11671576,0.8240,-0.1201,-7.5711,19.3566,43.7177,-134.71,-26.91,1.0118,-1.0140,-0.0054,0.0011
11690745,0.8286,-0.2713,-7.9120,13.5638,-13.1810,-129.57,51.17,1.0290,-1.0118,-0.3989,0.4333
11709915,0.8154,-0.1802,-7.9441,15.3813,32.3898,-129.54,-7.17,0.7344,-0.7280,-0.0548,0.1946
11729085,0.9385,-0.2597,-8.2149,12.8408,10.6262,-144.23,25.73,1.0742,-1.0484,-0.2419,0.3280
11748255,0.8858,-0.2895,-8.8096,1.1255,-7.6352,-125.13,48.17,1.0505,-1.0204,-0.1581,0.1559
11767424,0.9182,-0.3213,-8.7261,-2.8070,17.6342,-125.74,27.35,1.0699,-0.9688,-0.4892,0.5667
11786594,0.8805,-0.3458,-9.1914,-12.8953,-10.2377,-110.38,58.64,1.0613,-1.0419,-0.3215,0.4204
11805764,0.9626,-0.3827,-9.3438,4.3367,-14.1884,-139.09,67.77,1.0742,-1.0204,-0.3753,0.4742
11824933,0.9287,-0.4320,-9.4855,-19.8191,-4.2173,-110.20,64.69,1.0892,-0.9839,-0.5387,0.6333
11844103,0.9074,-0.3990,-9.6434,-34.6863,4.2848,-92.35,51.58,1.1000,-1.0290,-0.4118,0.4914
11863272,0.9579,-0.5119,-10.1223,-13.2509,-12.5070,-120.85,84.17,1.0656,-1.0118,-0.3925,0.4226
11882442,0.9847,-0.5222,-10.2102,4.9999,-5.0697,-142.86,78.18,1.0849,-1.0398,-0.3409,0.4591
11901612,0.9842,-0.4636,-10.5042,8.0950,25.1945,-145.88,39.71,1.0656,-1.0613,-0.4548,0.5473
11920782,0.9744,-0.4915,-10.5787,2.5488,22.7322,-138.96,46.07,1.1000,-1.0290,-0.4290,0.5430
11939952,0.9865,-0.5723,-10.6456,23.9964,-0.0807,-150.00,80.20,1.0742,-0.9774,-0.6484,0.7688
11959122,0.9919,-0.6590,-10.9109,29.9686,-42.8709,-150.00,135.13,1.0892,-1.0570,-0.7581,0.9000
11978293,0.8355,-0.5523,-11.2491,-3.8406,2.2002,-113.12,75.12,0.9710,-0.9688,-0.7538,0.8892
11997462,0.8354,-0.5228,-11.3780,9.6841,-9.3568,-126.64,82.55,1.0290,-1.0247,-0.4892,0.5882
12016632,0.8410,-0.5796,-11.6361,11.4105,-7.6067,-129.14,88.74,1.0742,-1.0677,-0.7323,0.8699
12035801,0.7997,-0.5205,-11.7671,-1.7206,-0.1182,-110.24,72.98,0.9860,-0.9817,-0.6075,0.7129
12054971,0.7875,-0.5831,-12.1006,2.0082,5.4665,-112.25,76.17,1.0527,-1.0355,-0.8484,0.9989
12074141,0.7488,-0.5102,-12.2942,0.0519,30.7899,-104.88,40.63,0.9194,-0.8892,-0.7559,0.8849
12093310,0.7084,-0.5171,-12.6448,-7.3729,-4.7592,-91.81,77.15,0.7624,-0.7581,-0.4591,0.5516
12112480,0.6910,-0.6147,-12.7955,4.7081,-15.2821,-101.45,101.33,0.8355,-0.8140,-0.6398,0.7602
12131649,0.6661,-0.5754,-12.9156,3.4172,-7.3493,-96.67,87.90,0.7817,-0.7559,-0.5796,0.7473
12150818,0.6248,-0.5152,-13.1358,-18.4483,26.0624,-69.02,46.07,0.9688,-0.9301,-0.5516,0.6935
12169988,0.6201,-0.5555,-13.3056,16.4199,-1.5153,-103.23,79.28,0.7516,-0.7086,-0.5882,0.7387
12189158,0.5336,-0.5124,-13.6417,-19.0423,9.2990,-55.66,62.44,0.6828,-0.6591,-0.4828,0.6140
12208328,0.4813,-0.5297,-13.9637,-11.8579,-12.2452,-55.53,86.41,0.6376,-0.6161,-0.4634,0.5731
12227497,0.5345,-0.4911,-14.2509,-7.5601,25.4180,-67.27,43.34,0.9925,-0.9667,-0.4763,0.6011
12246667,0.3947,-0.5189,-14.4310,-25.9156,10.4601,-29.34,62.18,0.5581,-0.5409,-0.5237,0.6548
12265837,0.4482,-0.5107,-14.9244,21.6212,3.8417,-84.36,67.66,0.5731,-0.5645,-0.5129,0.6505
12285006,0.3600,-0.5131,-15.1867,-28.1351,10.2626,-22.27,61.57,0.6183,-0.5989,-0.6548,0.8140
12304176,0.3790,-0.4149,-15.4003,-9.0410,26.2409,-44.02,31.84,0.5903,-0.5688,-0.3860,0.5151
12323346,0.2620,-0.4626,-15.8413,18.5979,22.1467,-55.28,42.61,0.0054,0.0161,-0.4914,0.6398
12342515,0.3143,-0.4618,-15.9158,-16.0998,-9.0916,-27.90,73.74,0.3817,-0.3645,-0.4097,0.5172
12361685,0.2612,-0.4038,-16.0288,5.1049,20.7180,-41.68,35.81,0.1817,-0.1237,-0.3043,0.4183
12380855,0.2998,-0.5578,-16.3318,21.4564,-24.2987,-63.43,102.40,0.3538,-0.3581,-0.6849,0.8097
12400024,0.3041,-0.5488,-16.3972,39.3407,-10.7552,-81.91,87.58,0.3430,-0.3495,-0.5473,0.6914
12419194,0.2021,-0.5512,-16.6227,-8.7907,-10.1022,-19.50,87.27,0.1989,-0.1753,-0.3473,0.4957
12438364,0.3018,-0.5559,-16.7555,12.1448,6.9587,-54.39,70.87,0.4613,-0.4613,-0.4720,0.6355
12457533,0.3208,-0.5741,-16.9861,86.4009,-15.2863,-131.32,95.67,0.3237,-0.3280,-0.4914,0.6290
12476703,0.3309,-0.5651,-17.2323,6.4736,26.4887,-52.81,52.63,0.4161,-0.4183,-0.5645,0.7430
12495872,0.2823,-0.5175,-17.4400,7.3515,27.2915,-46.87,45.16,0.5301,-0.5172,-0.5796,0.7387
12515043,0.2605,-0.5602,-17.4752,-21.7820,12.7456,-14.69,65.69,0.4140,-0.3903,-0.5538,0.7430
12534213,0.2752,-0.5726,-17.7569,-8.7583,-4.5314,-29.78,84.70,0.3688,-0.3495,-0.5796,0.7086
12553382,0.2984,-0.5153,-17.8088,24.3144,31.8443,-66.09,40.29,0.4570,-0.4376,-0.5946,0.7624
12572552,0.0312,-0.5060,-17.0003,-108.6866,23.6736,104.32,47.17,0.1774,0.5882,-0.4247,0.5473
12591723,0.2951,-0.5200,-18.2294,-0.9069,-12.5868,-40.41,85.39,0.4871,-0.4677,-0.2720,0.4032
12610893,0.2435,-0.5249,-18.4067,-5.4584,5.1962,-28.63,68.29,0.5280,-0.5022,-0.6505,0.8097
12630062,0.2363,-0.5741,-18.5823,-1.2850,-49.1296,-31.79,129.50,0.4785,-0.4591,-0.5581,0.6591
