variant,magnet_n,n_runs,success_count,graph_build_time_s_mean,graph_build_time_s_median,graph_build_time_s_min,graph_build_time_s_max,build_ocp_time_s_mean,build_ocp_time_s_median,build_ocp_time_s_min,build_ocp_time_s_max,build_sim_time_s_mean,build_sim_time_s_median,build_sim_time_s_min,build_sim_time_s_max,build_total_time_s_mean,build_total_time_s_median,build_total_time_s_min,build_total_time_s_max,total_wall_time_s_mean,total_wall_time_s_median,total_wall_time_s_min,total_wall_time_s_max,solve_wall_mean_ms_mean,solve_wall_mean_ms_median,solve_wall_mean_ms_min,solve_wall_mean_ms_max,solve_wall_median_ms_mean,solve_wall_median_ms_median,solve_wall_median_ms_min,solve_wall_median_ms_max,solve_wall_p95_ms_mean,solve_wall_p95_ms_median,solve_wall_p95_ms_min,solve_wall_p95_ms_max,solve_wall_max_ms_mean,solve_wall_max_ms_median,solve_wall_max_ms_min,solve_wall_max_ms_max,generated_code_bytes_mean,generated_code_bytes_median,generated_code_bytes_min,generated_code_bytes_max,per_run_bytes_mean,per_run_bytes_median,per_run_bytes_min,per_run_bytes_max,per_run_c_lines_mean,per_run_c_lines_median,per_run_c_lines_min,per_run_c_lines_max,per_run_dyn_c_lines_mean,per_run_dyn_c_lines_median,per_run_dyn_c_lines_min,per_run_dyn_c_lines_max,sqp_iter_mean_mean,sqp_iter_mean_median,sqp_iter_mean_min,sqp_iter_mean_max,sqp_iter_max_mean,sqp_iter_max_median,sqp_iter_max_min,sqp_iter_max_max
full,4,3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
full,6,3,3,0.252257333333333,0.209422,0.198251,0.349099,32.6162683333333,32.602575,32.136268,33.109962,30.6710133333333,30.646364,30.639467,30.727209,63.2878303333333,63.242276,62.782736,63.838479,78.8718756666667,79.068757,78.057341,79.489529,1.83075238095238,1.91445714285714,1.65425714285714,1.92354285714286,1.15766666666667,1.335,0.774,1.364,5.46116666666666,4.93539999999999,4.78519999999999,6.6629,10.0626666666667,7.838,7.713,14.637,33666853.6666667,33666843,16838336,50495382,16828517.6666667,16828507,16828507,16828539,300883,300883,300883,300883,296969,296969,296969,296969,1,1,1,1,1,1,1,1
full,8,3,3,0.190833333333333,0.194113,0.172308,0.206079,47.313193,47.416396,47.066607,47.456576,46.0818893333333,46.092962,46.041446,46.11126,93.3951893333333,93.509465,93.108164,93.567939,109.257592666667,109.08408,108.988718,109.69998,2.11425490196078,2.07905882352941,2.04526470588235,2.21844117647059,1.69433333333333,1.694,1.6685,1.7205,3.95706666666667,3.94485,3.42765,4.49870000000001,8.24766666666667,7.746,7.691,9.306,94981028,94981028,72738205,117223851,22242823,22242823,22242823,22242823,400285,400285,400285,400285,396371,396371,396371,396371,1,1,1,1,1,1,1,1
full,10,3,3,0.180269,0.182076,0.176545,0.182186,58.3540556666667,58.31516,58.01758,58.729427,56.8334973333333,56.779638,56.692542,57.028312,115.187677,115.094959,115.045995,115.422077,134.998826666667,135.028439,134.893671,135.07437,1.80683516666667,1.7918925,1.785277,1.843336,1.75233333333333,1.742,1.742,1.773,2.01908333333333,1.99215,1.95,2.1151,5.497,5.411,5.348,5.732,171684129,171684129,144453990,198914268,27230139,27230139,27230139,27230139,500085,500085,500085,500085,496171,496171,496171,496171,1,1,1,1,1,1,1,1
full,12,3,3,0.177035,0.176007,0.175531,0.179567,76.0491856666667,76.070301,75.808736,76.26852,75.258966,75.369536,75.013787,75.393575,151.308259666667,151.282423,151.178379,151.463977,171.207449333333,171.185793,171.151381,171.285174,2.17403516666667,2.1550665,2.1493635,2.2176755,2.10433333333333,2.096,2.088,2.129,2.4765,2.42715,2.40505,2.5973,6.47733333333333,6.451,6.317,6.664,264296294,264296294,231605281,296987307,32691013,32691013,32691013,32691013,599407,599407,599407,599407,595493,595493,595493,595493,1,1,1,1,1,1,1,1
full,16,3,3,0.1822,0.183456,0.179566,0.183578,128.258229,126.639647,126.264644,131.870396,127.496698666667,127.875395,126.318227,128.296474,255.755038333333,254.51515,252.58298,260.166985,275.546157,273.928192,272.441396,280.268883,2.83450383333333,2.8320175,2.8055525,2.8659415,2.747,2.756,2.717,2.768,3.33455,3.32005,3.28925,3.39435,7.80866666666667,7.886,7.378,8.162,383253911,383253911,340120609,426387213,43133302,43133302,43133302,43133302,798761,798761,798761,798761,794847,794847,794847,794847,1,1,1,1,1,1,1,1
full,20,3,3,0.183363666666667,0.182164,0.177437,0.19049,186.092801333333,185.958596,185.813028,186.50678,185.155788,185.218644,184.894604,185.354116,371.248719333333,371.177381,370.707767,371.86101,395.371488,395.451278,394.373806,396.28938,3.5257905,3.499558,3.490792,3.5870215,3.40466666666667,3.379,3.372,3.463,4.19095,4.1124,4.10835,4.3521,9.16766666666667,9.093,8.987,9.423,539850684.333333,539850679,483118946,596582428,56731738.3333333,56731733,56731733,56731749,997557,997557,997557,997557,993643,993643,993643,993643,1,1,1,1,1,1,1,1
full,30,3,3,0.181453,0.181842,0.18058,0.181937,389.431059333333,388.662761,387.817118,391.813299,388.473117666667,388.001172,386.203317,391.214864,777.904296666667,775.818396,774.866185,783.028309,806.692322666667,804.548278,803.848166,811.680524,5.3282985,5.3202765,5.2828625,5.3817565,5.14133333333333,5.164,5.085,5.175,6.34441666666667,6.3375,6.33385,6.3619,18.4186666666667,13.782,11.927,29.547,766818222,766818222,681700325,851936119,85117897,85117897,85117897,85117897,1496127,1496127,1496127,1496127,1492213,1492213,1492213,1492213,1,1,1,1,1,1,1,1
full,40,3,3,0.190863333333333,0.189607,0.183831,0.199152,688.818825,690.953087,681.193855,694.309533,684.650943666667,685.506809,681.593888,686.852134,1373.47001833333,1372.547199,1368.046379,1379.816477,1407.75140333333,1406.905981,1402.673887,1413.674342,7.50383833333333,7.4382205,7.4204155,7.652879,7.158,7.138,7.105,7.231,9.07045,9.17625,8.7195,9.3156,36.3636666666667,35.001,25.91,48.18,1078376541,1078376541,965156330,1191596752,113220211,113220211,113220211,113220211,1993497,1993497,1993497,1993497,1989583,1989583,1989583,1989583,1,1,1,1,1,1,1,1
full,60,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
reduced,4,3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
reduced,6,3,3,0.280803666666667,0.225099,0.203932,0.41338,28.909319,28.530869,28.454554,29.742534,27.791551,27.654821,27.468494,28.251338,56.7013666666667,56.109528,56.000013,57.994559,72.4392013333333,71.5331,71.469377,74.315127,2.74325714285714,2.73902857142857,2.69934285714286,2.7914,1.158,1.277,0.863,1.334,7.46463333333333,7.2358,7.1467,8.0114,11.8536666666667,8.722,8.664,18.175,1303648983,1303648983,1289045041,1318252925,14603942,14603942,14603942,14603942,255810,255810,255810,255810,251918,251918,251918,251918,1,1,1,1,1,1,1,1
reduced,8,3,3,0.214639666666667,0.223707,0.188839,0.231373,41.4273433333333,41.454307,41.256426,41.571297,40.278687,40.293844,40.129466,40.412751,81.706167,81.583875,81.55039,81.984236,97.4525103333333,97.5427,97.007535,97.807296,2.406,2.39502941176471,2.34991176470588,2.47305882352941,1.56933333333333,1.551,1.533,1.624,6.25605000000001,6.55260000000001,5.497,6.71855000000001,10.205,10.138,9.682,10.795,1356847541,1356847541,1337550233,1376144849,19297308,19297308,19297308,19297308,340564,340564,340564,340564,336672,336672,336672,336672,1,1,1,1,1,1,1,1
reduced,10,3,3,0.190756333333333,0.188707,0.186653,0.196909,52.2407373333333,52.201334,52.184068,52.33681,51.2530253333333,51.135278,51.116205,51.507593,103.493871666667,103.472197,103.300383,103.709035,123.055765333333,123.106069,122.871103,123.190124,1.63068083333333,1.6312925,1.6032865,1.6574635,1.57233333333333,1.576,1.546,1.595,1.82273333333333,1.82115,1.776,1.87105,12.075,11.287,10.301,14.637,1423674517,1423674517,1399909683,1447439351,23764834,23764834,23764834,23764834,425554,425554,425554,425554,421662,421662,421662,421662,1,1,1,1,1,1,1,1
reduced,12,3,3,0.189374333333333,0.186115,0.184666,0.197342,65.079847,65.194712,64.727324,65.317505,63.9358556666667,64.01117,63.765965,64.030432,129.015819333333,129.083599,128.738604,129.225255,148.439291,148.64961,147.873874,148.794389,1.87831466666667,1.880471,1.8616425,1.8928305,1.81433333333333,1.812,1.804,1.827,2.15821666666667,2.194,2.03415,2.2465,12.712,12.572,12.293,13.271,1504184611,1504184611,1475811981,1532557241,28372630,28372630,28372630,28372630,510136,510136,510136,510136,506244,506244,506244,506244,1,1,1,1,1,1,1,1
reduced,16,3,3,0.189992666666667,0.189823,0.188279,0.191876,101.330591666667,101.044636,100.65352,102.293619,100.647708666667,100.948244,99.388722,101.60616,201.978411,201.682454,201.601872,202.650907,221.397368,221.169068,220.835878,222.187158,2.49377516666667,2.489862,2.4861465,2.505317,2.40633333333333,2.406,2.398,2.415,2.90041666666667,2.8781,2.83405,2.9891,14.0703333333333,13.418,12.468,16.325,1607351955,1607351955,1569954598,1644749312,37397357,37397357,37397357,37397357,680118,680118,680118,680118,676226,676226,676226,676226,1,1,1,1,1,1,1,1
reduced,20,3,3,0.195693666666667,0.195625,0.191117,0.200339,154.984257,155.017781,154.181509,155.753481,152.616539,153.204152,151.116179,153.529286,307.600924,308.54718,305.297844,308.957748,331.221252666667,332.202157,328.924805,332.536796,3.12005866666667,3.129002,3.0766,3.154574,3,3.019,2.949,3.032,3.81813333333333,3.85215,3.65805,3.9442,20.1743333333333,20.298,15.251,24.974,1743003716,1743003716,1693876514,1792130918,49127202,49127202,49127202,49127202,849156,849156,849156,849156,845264,845264,845264,845264,1,1,1,1,1,1,1,1
reduced,30,3,3,0.198218333333333,0.19901,0.19342,0.202225,319.007759666667,318.802452,318.24582,319.975007,317.927332666667,317.194776,316.963521,319.623701,636.935207333333,636.938641,635.997348,637.869633,664.399516333333,664.826636,663.058535,665.313378,4.6885645,4.6386945,4.634847,4.792152,4.50366666666667,4.4615,4.4515,4.598,5.61278333333333,5.5616,5.5107,5.76605,26.126,28.897,17.412,32.069,1939288970,1939288970,1865709944,2012867996,73579026,73579026,73579026,73579026,1274330,1274330,1274330,1274330,1270438,1270438,1270438,1270438,1,1,1,1,1,1,1,1
reduced,40,3,3,0.215705333333333,0.209724,0.206173,0.231219,554.735906333333,554.492274,553.630415,556.08503,556.280455,557.627778,552.730397,558.48319,1111.01658533333,1112.120483,1106.360938,1114.568335,1142.651013,1143.50953,1138.605441,1145.838068,6.37144283333333,6.402269,6.251432,6.4606275,6.08333333333333,6.083,6.002,6.165,7.64823333333333,7.7432,7.3942,7.8073,33.111,34.725,22.783,41.825,2209089284,2209089284,2110978640,2307199928,98110644,98110644,98110644,98110644,1698100,1698100,1698100,1698100,1694208,1694208,1694208,1694208,1,1,1,1,1,1,1,1
reduced,60,3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
reduced,80,3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
reduced,100,3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
