system,type,index,value
12-state,ct,1,5.5729353500424926e-03
12-state,ct,2,3.6592128832091159e-03
12-state,ct,3,3.6408913443044181e-03
12-state,ct,4,4.0329990855385452e-07
12-state,ct,5,6.6804379034878136e-08
12-state,ct,6,6.6492741268305586e-08
12-state,ct,7,1.7884322970143584e-08
12-state,ct,8,1.5935229869614422e-08
12-state,ct,9,1.2818757203234816e-14
12-state,ct,10,1.1422796938529574e-14
12-state,ct,11,5.3047445716449682e-18
12-state,ct,12,1.4526905423782798e-23
12-state,dt,1,1.3165494575641190e+00
12-state,dt,2,6.0477688001009600e-01
12-state,dt,3,6.0376894922446589e-01
12-state,dt,4,6.5225989861471856e-05
12-state,dt,5,1.4297875245092104e-05
12-state,dt,6,1.4177124615455155e-05
12-state,dt,7,6.1503260750483323e-08
12-state,dt,8,5.4976513092210174e-08
12-state,dt,9,6.9960677961771340e-16
12-state,dt,10,5.9820038207624647e-16
12-state,dt,11,2.4785430611116594e-16
12-state,dt,12,1.9839916693735771e-22
10-state,ct,1,5.5729353500424917e-03
10-state,ct,2,3.6592128832222187e-03
10-state,ct,3,3.6408913443390328e-03
10-state,ct,4,4.0329990852442166e-07
10-state,ct,5,6.6804378988270386e-08
10-state,ct,6,6.6492741264230431e-08
10-state,ct,7,1.7884322957577076e-08
10-state,ct,8,1.5935229815832793e-08
10-state,ct,9,1.2818945233747911e-14
10-state,ct,10,1.1422333526893098e-14
10-state,dt,1,1.3165494575641170e+00
10-state,dt,2,6.0477688001008056e-01
10-state,dt,3,6.0376894922445612e-01
10-state,dt,4,6.5225989858701922e-05
10-state,dt,5,1.4297875236527517e-05
10-state,dt,6,1.4177124611060973e-05
10-state,dt,7,6.1503260029330840e-08
10-state,dt,8,5.4976512746627911e-08
10-state,dt,9,8.3652981454790376e-16
10-state,dt,10,8.1020721558887482e-16
6-state,ct,1,5.5720619869064885e-03
6-state,ct,2,3.0128280366424043e-03
6-state,ct,3,3.0115481906036207e-03
6-state,ct,4,4.0330106364721381e-07
6-state,ct,5,6.4411725650320083e-08
6-state,ct,6,6.4388655893633392e-08
6-state,dt,1,1.3165188648291628e+00
6-state,dt,2,5.4839847371980077e-01
6-state,dt,3,5.4818010342528734e-01
6-state,dt,4,6.5224861447017030e-05
6-state,dt,5,1.3129310489127253e-05
6-state,dt,6,1.3124519958534894e-05
