t,x,y,z,alpha,beta,x_dot,y_dot,z_dot,alpha_dot,beta_dot,x_est,y_est,z_est,x_dot_est,y_dot_est,z_dot_est,err_x,err_y,err_z,err_x_dot,err_y_dot,err_z_dot,x_std,y_std,z_std,x_dot_std,y_dot_std,z_dot_std,bx,by,bz,bx_est,by_est,bz_est,bx_std,by_std,bz_std,nis,nees,cond_P,det_P,cond_S,det_S,runtime,filterVariant,nx,useSRformulation,RK4Iterations,updateJacobians,updateQ,cubature
0,0.3,-0.3,31.119178665731,1,1,0,0,0,0,0,0,0,30.119178665731,0,0,0,-0.3,0.3,-1,0,0,0,0,0,0,0,0,0,-0.00189438033401451,0.00187082593548675,-0.0108409137544472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0
0.005,0.268170921938716,-0.267951213633583,31.083047198672,2.39471827702708,2.41337902891314,-12.5374590164552,12.626173290358,-14.2993598704636,-6668.82661942291,-6690.26807911332,4.10827439133846,-3.12401646185551,16.3304292306099,-8664.66368611247,8664.13130403727,-8777.15916451393,3.84010346939974,-2.85606524822192,-14.7526179680621,-8652.12622709602,8651.50513074691,-8762.85980464347,0.284314994111406,0.284270366513964,0.14641804820824,69.73419742356,69.7341715244321,69.6993114122114,-1.71926893254337,1.97433738602416,10.7157135089441,11.7358183781584,-11.880358531823,16.6995595096929,0.360889328407631,0.360931227885491,0.700777343137354,2942.36351147258,56750.2382544751,226997.04669488,1.60004878637242e-29,3.77115483210173,8.33145583335729e-21,946.55,0,6,0,0,1,0,0
0.01,0.258938020945298,-0.257737848441894,30.9748028013864,4.44943003770763,4.48506399136533,9.16065976730538,-8.85600258570305,-28.7556803664636,-703.803206516405,-669.130230448313,-17.835528824053,17.9846347314609,14.5647412542591,3434.85072890385,-3473.2396079749,-16328.7718298912,-18.0944668449983,18.2423725799028,-16.4100615471273,3425.69006913654,-3464.3836053892,-16300.0161495248,0.226677806204645,0.226645609752844,0.127786183292596,95.0736265178547,95.0727521173812,89.3530330797804,2.10161358326856,-2.29763378357457,10.5503912710403,-12.3103189277305,12.5525960150998,5.87888550475781,0.155577014143689,0.155581740783873,0.198495882204458,18259.6486041481,59581.4391069431,602992.375837702,2.24198041222365e-29,1.62790914406494,2.30837740383123e-23,26.804,0,6,0,0,1,0,0
0.015,0.299179724333251,-0.29664130562919,30.8017577878516,5.46458072619099,5.51390318303188,7.10244885948709,-6.87011046452481,-39.9247760253816,-1290.82381791069,-1312.6197638665,-1.50196712961849,2.16108549150359,13.9002821400037,1172.75534545829,-1352.20585721961,-23363.808218483,-1.80114685395174,2.45772679713278,-16.9014756478478,1165.6528965988,-1345.33574675509,-23323.8834424576,0.213378458495578,0.213351873637087,0.126438965325518,110.784002332893,110.781821957404,99.5542196103416,-0.491307226640957,0.545725591434733,10.5852123130574,-2.06776258723535,2.25122458544071,5.07369880500734,0.144339418261984,0.144344710039531,0.192647960590959,1079.73569736165,58866.4940348807,869810.898946437,3.23114836223665e-29,1.78147866762777,1.61099570450221e-23,28.554,0,6,0,0,1,0,0
0.02,0.339483971272817,-0.335484792754836,30.5823265243794,6.41524989885031,6.49473294703131,9.197731858319,-8.84092681850495,-47.1591230181829,-548.18530470797,-568.18608157893,1.99230640024146,-1.32389441394675,13.3442890904849,-90.6814041013061,-153.812396803888,-29749.1669306546,1.65282242896864,-0.988409621191915,-17.2380374338944,-99.8791359596251,-144.971469985383,-29702.0078076364,0.210150444493677,0.210126010738824,0.126354635405255,121.338624541929,121.33521917606,106.746510107996,-0.0915759731393203,0.155746668384432,10.4857557846625,0.850088350603088,-0.61475719841028,3.82361363881134,0.14204767355119,0.142053514664431,0.192301488716219,1271.8024661744,79424.230697832,1045154.42627229,4.57900961080646e-29,1.83282048631213,1.50567341211311e-23,27.681,0,6,0,0,1,0,0
0.025,0.383341475369376,-0.377445809834837,30.3388564203688,7.09971231652749,7.2138981928925,8.49012434203507,-8.08227002044078,-49.4301307460559,-419.464788101452,-448.556231417054,7.59539195514286,-7.11042960888243,12.7055566294265,-4662.45309869499,4211.96202509218,-35909.8001267118,7.21205047977348,-6.73298379904759,-17.6332997909423,-4670.94322303702,4220.04429511262,-35860.3699959657,0.209394666266058,0.209370948361999,0.126353222373776,129.052964454872,129.048679697792,112.879897035989,-0.627096174396414,0.496265358199075,10.1759114752222,4.3969706484215,-4.10181603157962,3.14662910060042,0.141531575338006,0.141537672217992,0.192295892820578,3641.41099172838,110423.154712552,1171659.60598884,6.29473822225892e-29,1.84610555798416,1.48382915682549e-23,26.613,0,6,0,0,1,0,0
0.03,0.422957657364727,-0.414976648706065,30.0962705359778,7.63181210308953,7.78348656718326,7.48557917541346,-7.05207437900125,-46.7783817175355,-349.786173451684,-383.089984228289,11.507162939955,-11.1427188184701,12.4890498556345,-10770.9744959692,10108.7571593394,-41945.8232873526,11.0842052825903,-10.727742169764,-17.6072206803433,-10778.4600751446,10115.8092337184,-41899.044905635,0.209237148370569,0.209213639563921,0.126354760731129,135.21265029906,135.207839365533,118.515463881685,-0.616262420910363,0.452959698032516,10.1754363306261,6.83657624229909,-6.59190932588923,2.71014675976105,0.141424950560822,0.141431139759701,0.192302252991832,6749.02611584013,156137.599101241,1273712.0471002,8.39590034962354e-29,1.84901287338947,1.479462518289e-23,27.199,0,6,0,0,1,0,0
0.035,0.457087367683706,-0.447004315764923,29.8782804419754,8.04626618658762,8.23426286567211,6.2804411250593,-5.86546089277495,-39.6499520931566,-324.570589066879,-359.768373585719,14.3191141430616,-13.7603190089177,12.3188809578674,-18046.1610403433,17233.2763827898,-48280.9430576634,13.8620267753779,-13.3133146931527,-17.559399484108,-18052.4414814683,17239.1418436826,-48241.2931055703,0.209215798808938,0.209192340158772,0.126355624997795,140.506704339007,140.50163052857,123.828087684022,-0.598617010153458,0.589462572962885,9.98461265430213,8.56554070700269,-8.35092831475954,2.98833743736346,0.141410523762148,0.141416740033022,0.192305808187845,9501.34145808111,219005.620213433,1363619.17548319,1.09066847162294e-28,1.84945859338824,1.47891417089123e-23,34.137,0,6,0,0,1,0,0
0.04,0.485190230764257,-0.473198068223842,29.7050984917837,8.37602086608747,8.59633259787456,5.06010807761461,-4.70403621566149,-28.9959644226226,-312.651807404199,-347.161141780637,16.6176165806441,-15.4640458661703,12.5007158825357,-25992.0804483015,25129.0204645432,-55106.4539504914,16.1324263498798,-14.9908477979464,-17.2043826092479,-25997.1405563791,25133.7245007589,-55077.4579860688,0.209220664439447,0.209197211964029,0.126356192023914,145.294238230777,145.289070430922,128.886013653247,-0.309018032566793,0.623793126299008,9.99776786332124,9.7298182175608,-9.44840446904916,3.68674301376209,0.14141381131746,0.141420033160047,0.192308135642834,11170.4508730225,299243.370969315,1447463.80155854,1.38548575722707e-28,1.84941736455517,1.47908762178105e-23,27.284,0,6,0,0,1,0,0
0.045,0.507469732763819,-0.493931211464144,29.5911948700113,8.65209624716291,8.89909024032726,3.9361384024727,-3.66720991787035,-16.1454943031938,-298.374016442329,-329.312710076255,17.8281776380878,-16.5534205318484,12.7552086978961,-34547.3806622327,33489.298843005,-62725.1341569413,17.3207079053239,-16.0594893203843,-16.8359861721151,-34551.3168006352,33492.9660529229,-62708.9886626381,0.209227850519965,0.209204394530286,0.126356667577337,149.761043494423,149.755880369196,133.725594553364,-0.406864532641851,0.601211557940154,9.89700622217685,10.5840295884423,-10.1125164258328,4.92373646928967,0.141418667211308,0.141424888819867,0.192310086858599,12431.9470924525,396920.739906301,1528234.35489305,1.72692847147546e-28,1.84932787816154,1.47932080226576e-23,27.902,0,6,0,0,1,0,0
