t,x,y,z,alpha,beta,x_dot,y_dot,z_dot,alpha_dot,beta_dot,x_est,y_est,z_est,alpha_est,beta_est,x_dot_est,y_dot_est,z_dot_est,alpha_dot_est,beta_dot_est,err_x,err_y,err_z,err_alpha,err_beta,err_x_dot,err_y_dot,err_z_dot,err_alpha_dot,err_beta_dot,x_std,y_std,z_std,alpha_std,beta_std,x_dot_std,y_dot_std,z_dot_std,alpha_dot_std,beta_dot_std,bx,by,bz,bx_est,by_est,bz_est,bx_std,by_std,bz_std,nis,nees,cond_P,det_P,cond_S,det_S,runtime,filterVariant,nx,useSRformulation,RK4Iterations,updateJacobians,updateQ,cubature
0,0.3,-0.3,31.119178665731,1,1,0,0,0,0,0,0,0,30.119178665731,0,0,0,0,0,0,0,-0.3,0.3,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00189438033401451,0.00187082593548675,-0.0108409137544472,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,1,0,0
0.005,0.268170921938716,-0.267951213633583,31.083047198672,2.39471827702708,2.41337902891314,-12.5374590164552,12.626173290358,-14.2993598704636,-6668.82661942291,-6690.26807911332,0.731914734418129,0.0201446728079448,30.8810664344503,0.0209211781308677,1.06177289931432,-0.643684729061796,18.702999181042,-0.947402996442779,41092.0724629588,37109.4377871658,0.463743812479413,0.288095886441528,-0.201980764221742,-2.37379709889621,-1.35160612959882,11.8937742873934,6.07682589068398,13.3519568740208,47760.8990823817,43799.7058662792,0.283554605782993,0.283591101364968,0.146260696954747,1.05658172862903,1.05623585014633,67.7946103004149,67.7885442910793,73.2358709209067,1953.40036240209,1956.1756758587,-1.71926893254337,1.97433738602416,10.7157135089441,-1.98387248876156,1.96674931976031,10.1825109538331,0.373237300553777,0.373274044315315,0.665068143591169,1.14346052449608,9398.61937915736,378805056.763423,2.81577225595145e-42,3.17563627498207,8.58462592994352e-21,2730.675,1,10,0,0,1,0,0
0.01,0.258938020945298,-0.257737848441894,30.9748028013864,4.44943003770763,4.48506399136533,9.16065976730538,-8.85600258570305,-28.7556803664636,-703.803206516405,-669.130230448313,-0.0716947563834848,-0.0319173833960972,30.9688880846739,206.6659444737,179.907318224098,-92.4287082252754,-23.5011362366728,4.76685694302959,-10225.4519330328,45306.4110416387,-0.330632777328783,0.225820465045797,-0.00591471671246291,202.216514435992,175.422254232733,-101.589367992581,-14.6451336509697,33.5225373094932,-9521.6487265164,45975.541272087,0.253320543795688,0.252177329208227,0.140917232117318,3.11335283692721,3.12320471494614,73.8533537191611,73.7493645508898,58.2608234529938,3285.54964389236,3308.08338049423,2.10161358326856,-2.29763378357457,10.5503912710403,2.47719795389108,-2.23508401557884,10.5416000590805,0.206907011991746,0.207811034484312,0.312645882390187,3.41844548137298,18767.0764081556,908557943.883091,1.31958748153115e-39,2.34430205835499,1.79031616180809e-22,2723.399,1,10,0,0,1,0,0
0.015,0.299179724333251,-0.29664130562919,30.8017577878516,5.46458072619099,5.51390318303188,7.10244885948709,-6.87011046452481,-39.9247760253816,-1290.82381791069,-1312.6197638665,-0.344206155661497,0.074266679077222,31.2753465495516,156.000775743151,410.818512053847,-34.4863203890056,-27.5191058413581,86.9420585905738,-1361610.35938063,-1113106.93538993,-0.643385879994748,0.370907984706413,0.473588761700075,150.53619501696,405.304608870815,-41.5887692484927,-20.6489953768333,126.866834615955,-1360319.53556272,-1111794.31562606,0.238262704704533,0.248483510067866,0.140367701946909,4.51923336633111,4.46146860588759,66.485025494107,67.7406642680409,54.8743464835121,3723.5192851057,3733.44293111445,-0.491307226640957,0.545725591434733,10.5852123130574,-0.533779600553215,0.427236841913324,10.3609412339162,0.251679759627317,0.239909806470391,0.310351059539923,0.812028328967884,283711.260757316,1389346528.13194,2.15848613500932e-38,1.6923591136583,3.50053795448844e-22,2731.225,1,10,0,0,1,0,0
0.02,0.339483971272817,-0.335484792754836,30.5823265243794,6.41524989885031,6.49473294703131,9.197731858319,-8.84092681850495,-47.1591230181829,-548.18530470797,-568.18608157893,-0.382874968851509,0.0258119164726668,31.9663296912925,-6650.46541082938,-5148.68904426129,50.7054057104755,-25.8081932655953,224.978543702018,-2346094.22837642,-3737044.8338433,-0.722358940124326,0.361296709227503,1.3840031669131,-6656.88066072823,-5155.18377720832,41.5076738521565,-16.9672664470903,272.137666720201,-2345546.04307171,-3736476.64776173,0.151670111432903,0.1485504288687,0.0576614476946671,4.01479034128327,7.93162466081309,58.7167893062013,57.5745002080604,48.4390847443627,4696.01180522108,5643.90199206365,-0.0915759731393203,0.155746668384432,10.4857557846625,-0.0612062039486526,0.131279496125432,9.93955412526844,0.976165013636863,0.484076701594398,0.771615628502927,0.519199246311271,4998955.16502935,21203102637.4305,7.86536905132598e-40,6.79542820904541,9.36241695073956e-20,2710.264,1,10,0,0,1,0,0
0.025,0.383341475369376,-0.377445809834837,30.3388564203688,7.09971231652749,7.2138981928925,8.49012434203507,-8.08227002044078,-49.4301307460559,-419.464788101452,-448.556231417054,-1.023689689111,1.01287892884907,35.670836116468,-18131.8410033548,-23960.3009031244,-180.331057073775,288.892422781864,840.683525820615,-2489802.35157183,-4381303.71998965,-1.40703116448037,1.39032473868391,5.33197969609922,-18138.9407156713,-23967.5148013173,-188.82118141581,296.974692802305,890.113656566671,-2489382.88678372,-4380855.16375823,0.406574455192751,0.299177144000118,0.0446997853091068,18.1981604003492,17.3073471635639,89.4079022556153,75.9168071748798,41.2630881408356,9637.546058168,10953.6069446155,-0.627096174396414,0.496265358199075,10.1759114752222,-5.23445552538871,-1.26731911017985,2.95309592984742,15.1938576915508,7.41634338615381,3.22898038721646,118.944534194077,185987303.748439,154188639310.963,3.94151141420546e-38,3896.59825118841,2.06600856826733e-17,2773.154,1,10,0,0,1,0,0
0.03,0.422957657364727,-0.414976648706065,30.0962705359778,7.63181210308953,7.78348656718326,7.48557917541346,-7.05207437900125,-46.7783817175355,-349.786173451684,-383.089984228289,-18.7474387210235,0.73373200491903,39.2197735858375,-31618.9748959508,-46307.9447032667,-2051.13231975907,161.255730164871,779.993010927033,-3461927.32323605,-5158006.31050724,-19.1703963783882,1.1487086536251,9.12350304985965,-31626.6067080539,-46315.7281898339,-2058.61789893449,168.307804543872,826.771392644569,-3461577.5370626,-5157623.22052301,0.299754805503653,0.233613501659849,0.103022845720876,12.335317634312,14.8464443264459,78.9316315624342,74.2724383982596,46.8755756399881,8404.01390294316,8284.63079150728,-0.616262420910363,0.452959698032516,10.1754363306261,-7.612568524237,7.25084119819143,10.4493296711129,0.812924970244104,1.06875899823083,1.18885331383924,451.62458598239,86420677.6054073,14947160750.0461,2.43407573677713e-36,33.516436780043,5.38954232894495e-20,2742.434,1,10,0,0,1,0,0
0.035,0.457087367683706,-0.447004315764923,29.8782804419754,8.04626618658762,8.23426286567211,6.2804411250593,-5.86546089277495,-39.6499520931566,-324.570589066879,-359.768373585719,-59.3205481466203,-16.6894575684568,46.349570807039,-48280.6206071742,-70469.5130555486,-5459.19155868471,-2307.7325062706,1604.02836481316,-2895982.31476378,-3216800.67952853,-59.777635514304,-16.2424532526918,16.4712903650636,-48288.6668733608,-70477.7473184143,-5465.47199980977,-2301.86704537782,1643.67831690632,-2895657.74417472,-3216440.91115494,0.46485254371665,0.515241207592883,0.320896973515946,16.1397407531688,29.8902571323378,88.9190630638516,90.9834940361547,76.7736190831444,6954.3363239056,10444.6689100584,-0.598617010153458,0.589462572962885,9.98461265430213,5.23610020733877,-0.309403427567524,24.0611343731328,0.16159335857287,0.134735917039674,0.214228796614125,4373.03383894796,30194460.3854438,9203134616.97754,4.04343049534414e-33,5.02946099221698,1.29929579427936e-23,2728.247,1,10,0,0,1,0,0
0.04,0.485190230764257,-0.473198068223842,29.7050984917837,8.37602086608747,8.59633259787456,5.06010807761461,-4.70403621566149,-28.9959644226226,-312.651807404199,-347.161141780637,-101.26335021821,-21.6245692251081,51.1027991169375,-60578.7626271315,-84532.3091425143,-6911.93795931088,-1760.16253765503,1250.23129977559,-2083982.27409797,-2293201.55258304,-101.748540448974,-21.1513711568843,21.3977006251539,-60587.1386479976,-84540.9054751122,-6916.9980673885,-1755.45850143937,1279.22726419821,-2083669.62229057,-2292854.39144126,0.862192900904017,0.9333930675966,0.688709500082081,128.639267313498,124.495489851516,112.489003210121,115.95220995112,103.47777956531,62358.4962033731,49839.196465774,-0.309018032566793,0.623793126299008,9.99776786332124,-0.954106292752003,1.67914390856889,21.8000999723684,0.113292134486905,0.110463850435795,0.10735970768515,12360.4159058165,255177240.293806,369748251921.836,8.12118399063585e-30,1.22212128963082,1.79197056964048e-24,2744.401,1,10,0,0,1,0,0
0.045,0.507469732763819,-0.493931211464144,29.5911948700113,8.65209624716291,8.89909024032726,3.9361384024727,-3.66720991787035,-16.1454943031938,-298.374016442329,-329.312710076255,-163.78930668401,-5.50586642952963,42.1216397281299,-58176.9886906972,-91208.1697633072,-8747.25088392893,-205.101717825002,205.578469695815,-71393.9006029739,-3112042.99984481,-164.296776416774,-5.01193521806548,12.5304448581186,-58185.6407869444,-91217.0688535475,-8751.18702233141,-201.434507907132,221.723963999009,-71095.5265865315,-3111713.68713473,1.31252435686928,1.39644064671693,1.13441429733878,339.791843077034,345.411016729553,130.41458701047,132.682915650416,123.155307398903,50446.884731586,70844.8765995048,-0.406864532641851,0.601211557940154,9.89700622217685,-1.18400030501694,0.985695851820215,21.7554629746831,0.112614134631358,0.110332282192881,0.113126431996305,11435.3197720878,27071160.74546,242788215704.174,2.38423663127718e-27,1.40755441787544,1.90184027577871e-24,2800.829,1,10,0,0,1,0,0
