t,x,y,z,alpha,beta,x_dot,y_dot,z_dot,alpha_dot,beta_dot,x_est,y_est,z_est,alpha_est,beta_est,x_dot_est,y_dot_est,z_dot_est,alpha_dot_est,beta_dot_est,err_x,err_y,err_z,err_alpha,err_beta,err_x_dot,err_y_dot,err_z_dot,err_alpha_dot,err_beta_dot,x_std,y_std,z_std,alpha_std,beta_std,x_dot_std,y_dot_std,z_dot_std,alpha_dot_std,beta_dot_std,bx,by,bz,bx_est,by_est,bz_est,bx_std,by_std,bz_std,nis,nees,cond_P,det_P,cond_S,det_S,runtime,filterVariant,nx,useSRformulation,RK4Iterations,updateJacobians,updateQ,cubature
0,0.3,-0.3,31.119178665731,1,1,0,0,0,0,0,0,0,30.119178665731,0,0,0,0,0,0,0,-0.3,0.3,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00189438033401451,0.00187082593548675,-0.0108409137544472,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,1,0,0
0.005,0.268170921938716,-0.267951213633583,31.083047198672,2.39471827702708,2.41337902891314,-12.5374590164552,12.626173290358,-14.2993598704636,-6668.82661942291,-6690.26807911332,0.734208420998747,0.0206422498863273,30.8837584468168,-7.828989817566e-05,0.00287503625257248,-10.6488608436354,18.3775911665922,-11.4078505124815,41390.9709051661,107652.257783667,0.466037499060031,0.288593463519911,-0.199288751855209,-2.39479656692526,-2.41050399266057,1.88859817281978,5.75141787623418,2.89150935798211,48059.797524589,114342.52586278,0.349518887346427,0.349531588918883,0.251169214951397,1.02062747353386,1.02062746886846,70.7777083794837,70.7780066455326,70.7865354683232,25995.3614533239,25909.8136627787,-1.71926893254337,1.97433738602416,10.7157135089441,-1.98387268173406,1.96674931962093,10.1825016503199,0.352531199793036,0.352496652278981,0.683382153515202,1.1835819036753,104.713152981761,63644371860.8636,2.05733505448041e-37,3.75864038149817,7.21099403038443e-21,1123.114,2,10,0,0,1,0,0
0.01,0.258938020945298,-0.257737848441894,30.9748028013864,4.44943003770763,4.48506399136533,9.16065976730538,-8.85600258570305,-28.7556803664636,-703.803206516405,-669.130230448313,-0.536475941106209,0.169658544164331,31.612209768969,184.930811835944,303.290662158746,-83.1692951263293,0.127869269434876,66.202599327622,-18912.6115666564,6185.03126477208,-0.795413962051507,0.427396392606225,0.637406967582584,180.481381798236,298.805598167381,-92.3299548936347,8.98387185513793,94.9582796940857,-18208.80836014,6854.16149522039,0.397342457105481,0.344032687602544,0.50499402304621,93.5720768523872,79.6990222466633,82.8878109949324,86.959247722172,91.2146568840576,29689.5667039824,31167.2585949617,2.10161358326856,-2.29763378357457,10.5503912710403,2.87804941169156,-2.34253458218348,8.90132505395513,0.308325361491767,0.31115308602423,0.85474823517043,7.45716686589408,230.011702777286,52089738594.9825,1.75981963125804e-30,9.69096340881962,5.65367931152669e-21,1215.172,2,10,0,0,1,0,0
0.015,0.299179724333251,-0.29664130562919,30.8017577878516,5.46458072619099,5.51390318303188,7.10244885948709,-6.87011046452481,-39.9247760253816,-1290.82381791069,-1312.6197638665,-0.210870499637867,-0.0292319658260743,32.0600672545967,127.450269085943,423.218830677435,39.4214782958014,-40.691721041271,117.20494340961,-1222646.75957689,-1963562.42480477,-0.510050223971118,0.267409339803116,1.25830946674509,121.985688359752,417.704927494403,32.3190294363143,-33.8216105767462,157.129719434992,-1221355.93575897,-1962249.8050409,0.523323231412979,0.51834066243049,0.920582334937466,229.165191202813,197.175191233111,89.7595528727219,88.9811578492134,120.255138726756,538848.904781558,381746.276941442,-0.491307226640957,0.545725591434733,10.5852123130574,-0.938308870757965,0.677360869570265,10.2627804344593,0.339076410004289,0.26440351973745,0.844105242303623,1.82241823657044,307.071543254714,9308766527342.05,1.85839818985734e-23,11.4740531861342,4.67731100594447e-21,1193.81,2,10,0,0,1,0,0
0.02,0.339483971272817,-0.335484792754836,30.5823265243794,6.41524989885031,6.49473294703131,9.197731858319,-8.84092681850495,-47.1591230181829,-548.18530470797,-568.18608157893,-0.00338654413897311,0.786839079807511,34.6878552035362,-12086.7657454326,-9464.66891067977,34.3589356522889,-27.2764708946642,439.346931881922,-6696715.73431172,-4961020.40702686,-0.34287051541179,1.12232387256235,4.1055286791568,-12093.1809953315,-9471.1636436268,25.1612037939699,-18.4355440761592,486.506054900105,-6696167.54900701,-4960452.22094528,0.805127490327856,0.820561558010507,1.22344061170433,522.96362382221,552.088815678001,114.935518071374,112.228376059206,134.299265320148,471674.743956681,628213.312335826,-0.0915759731393203,0.155746668384432,10.4857557846625,-2.22319131494686,8.31251300596847,70.1412572434492,2.6652528237096,11.5381313254507,54.6055045199857,9.22306679485171,7723.64502717674,8811551877546.17,2.42334339812347e-19,5624.33755952678,5.34869489228088e-15,1811.745,2,10,0,0,1,0,0
0.025,0.383341475369376,-0.377445809834837,30.3388564203688,7.09971231652749,7.2138981928925,8.49012434203507,-8.08227002044078,-49.4301307460559,-419.464788101452,-448.556231417054,1.36529603832649,1.27175823599162,38.4579038839303,-45790.3683236858,-38755.8788323442,162.124701645349,-58.8259186852631,380.695989711558,-9918346.7515523,-8865418.35823342,0.981954562957115,1.64920404582646,8.11904746356155,-45797.4680360023,-38763.0927305371,153.634577303314,-50.7436486648223,430.126120457614,-9917927.2867642,-8864969.80200201,0.918593450968979,1.00232408184132,1.19151328236267,33.2240185580931,867.967609939407,122.241077965056,122.724398439517,142.293067741608,1548963.66199586,1374058.51471775,-0.627096174396414,0.496265358199075,10.1759114752222,-32.6307458995458,758.434700378416,303.89933477727,45.8654905424726,1090.88226312771,424.88578434214,2.46029129652325,67158491.4945116,133522587347137,1.12753092863838e-18,1290849.14084287,2.63798563248548e-08,1058.778,2,10,0,0,1,0,0
0.03,0.422957657364727,-0.414976648706065,30.0962705359778,7.63181210308953,7.78348656718326,7.48557917541346,-7.05207437900125,-46.7783817175355,-349.786173451684,-383.089984228289,2.07834302878299,1.0366892563693,40.4281602540251,-95306.9130814224,-82148.4625615543,180.322948384756,-210.865332532302,314.260221499233,-9626355.53284442,-8759062.85871141,1.65538537141827,1.45166590507537,10.3318897180473,-95314.5448935255,-82156.2460481215,172.837369209343,-203.813258153301,361.038603216769,-9626005.74667097,-8758679.76872718,1.2838653331665,1.27021430663906,1.55579172010159,34.1160950235232,114.113494903307,129.582804651275,124.490211093192,138.704118094353,231338.55842466,162425.707289807,-0.616262420910363,0.452959698032516,10.1754363306261,-422.017928303006,574.559286140868,258.961357141175,603.975845304568,823.520663440302,350.074283719519,0.508499191039755,68906157.2849015,2183341794432.67,4.69254514608244e-24,291.585951523592,4.02521750434466e-05,1031.91,2,10,0,0,1,0,0
0.035,0.457087367683706,-0.447004315764923,29.8782804419754,8.04626618658762,8.23426286567211,6.2804411250593,-5.86546089277495,-39.6499520931566,-324.570589066879,-359.768373585719,1.90286329437056,-1.73944860704118,42.4055139907107,-143331.374015009,-125264.040574281,109.182317127014,-320.281183917759,406.658636513832,-7551511.68758974,-8322637.07404586,1.44577592668685,-1.29244429127626,12.5272335487353,-143339.420281196,-125272.274837147,102.901876001955,-314.415723024984,446.308588606988,-7551187.11700067,-8322277.30567227,1.70734308356617,1.35898025530054,1.61509774542771,105.875818105354,179.660322174215,138.618776023051,136.513875603039,137.54286204961,100440.697468153,82467.0525387834,-0.598617010153458,0.589462572962885,9.98461265430213,-2.97642682845733,15.4415759467668,35.6842456062623,4.79696401125442,19.3976485780402,29.432898340032,2.71534841338004,49612653.3438577,364247370958.928,9.56736003694015e-24,1214.24078348816,6.55946070440075e-14,983.925,2,10,0,0,1,0,0
0.04,0.485190230764257,-0.473198068223842,29.7050984917837,8.37602086608747,8.59633259787456,5.06010807761461,-4.70403621566149,-28.9959644226226,-312.651807404199,-347.161141780637,2.15485562636446,-8.87231064445245,42.3419604382,-182230.559900137,-168034.888044354,89.9283511310583,-676.575714723025,446.247460644894,-10208841.5274136,-8647745.76023265,1.6696653956002,-8.39911257622861,12.6368619464164,-182238.935921004,-168043.484376952,84.8682430534437,-671.871678507364,475.243425067517,-10208528.8756062,-8647398.59909087,1.86997156997525,1.42196478587327,1.95313886642217,109.662408172047,164.243386487353,141.463643355682,130.490174096352,131.983101648299,334939.072153778,60619.6650927925,-0.309018032566793,0.623793126299008,9.99776786332124,-0.969399056984344,5.16459549331216,21.4379311585162,1.69844659853807,3.81982038652025,7.35761328544148,27.2755766989738,93493303.7393742,1823849734013.23,2.89186875646715e-23,116.280213517025,3.27108878549829e-16,1005.132,2,10,0,0,1,0,0
0.045,0.507469732763819,-0.493931211464144,29.5911948700113,8.65209624716291,8.89909024032726,3.9361384024727,-3.66720991787035,-16.1454943031938,-298.374016442329,-329.312710076255,24.0550780625595,-11.2063547824164,58.0836896894484,-217920.874652123,-210554.171199394,1178.17195298611,-430.857815147027,886.924559512981,-8259594.73719987,-11741391.6085218,23.5476083297957,-10.7124235709523,28.4924948194371,-217929.52674837,-210563.070289634,1174.23581458364,-427.190605229156,903.070053816175,-8259296.36318343,-11741062.2958117,1.76385130558113,1.9595729144402,1.21780060316246,395.376263494026,103.317678852952,130.817329326501,143.942759938918,124.143550163698,78780.5833821948,146803.400352168,-0.406864532641851,0.601211557940154,9.89700622217685,-0.792995402278507,-4.91195012515533,25.9633373646011,2.33619647646441,9.4681666474282,1.88444010722561,165.300376949403,35595525.6678138,873259242201.027,2.83951529349158e-23,257.568525749864,1.49067390852469e-16,1021.893,2,10,0,0,1,0,0
