system,type,index,value
12-state,ct,1,1.5594804556274397e-01
12-state,ct,2,1.5515755119320540e-01
12-state,ct,3,1.5463868015346691e-02
12-state,ct,4,2.9110101153153378e-06
12-state,ct,5,4.1193327722841052e-07
12-state,ct,6,4.0939815087030350e-07
12-state,ct,7,5.3698311072352263e-08
12-state,ct,8,4.7900592217633485e-08
12-state,ct,9,3.9069779098876545e-14
12-state,ct,10,3.4813654391924668e-14
12-state,ct,11,1.1142579814401585e-15
12-state,ct,12,3.3043947501373178e-20
12-state,dt,1,2.4245580412732508e+01
12-state,dt,2,2.4110907731013519e+01
12-state,dt,3,3.1715929580251987e+00
12-state,dt,4,5.6716775542239189e-04
12-state,dt,5,9.7346391567542699e-05
12-state,dt,6,9.6966436075705120e-05
12-state,dt,7,4.7892191977225715e-06
12-state,dt,8,4.2763281273023180e-06
12-state,dt,9,2.9544184159470564e-12
12-state,dt,10,2.6178204157772671e-12
12-state,dt,11,1.1187141625883240e-13
12-state,dt,12,2.6046729693220790e-18
10-state,ct,1,1.5594804556445163e-01
10-state,ct,2,1.5515755119795591e-01
10-state,ct,3,1.5463868015348046e-02
10-state,ct,4,2.9110101146202270e-06
10-state,ct,5,4.1193327521186298e-07
10-state,ct,6,4.0939815082540175e-07
10-state,ct,7,5.3698311022016569e-08
10-state,ct,8,4.7900592051162936e-08
10-state,ct,9,3.9069167042007225e-14
10-state,ct,10,3.4873646707319017e-14
10-state,dt,1,2.4245580412714219e+01
10-state,dt,2,2.4110907731008808e+01
10-state,dt,3,3.1715929580249997e+00
10-state,dt,4,5.6716775527369139e-04
10-state,dt,5,9.7346391130411804e-05
10-state,dt,6,9.6966436007740999e-05
10-state,dt,7,4.7892191471923128e-06
10-state,dt,8,4.2763281250532956e-06
10-state,dt,9,2.9261534265576287e-12
10-state,dt,10,2.6163548576567204e-12
6-state,ct,1,7.4175723538677227e-02
6-state,ct,2,7.4158623671113727e-02
6-state,ct,3,1.5464296351849647e-02
6-state,ct,4,2.9110072023795824e-06
6-state,ct,5,5.1177905219531473e-07
6-state,ct,6,5.1161066438291018e-07
6-state,dt,1,1.1913340227950613e+01
6-state,dt,2,1.1910602953443966e+01
6-state,dt,3,3.1717002784732302e+00
6-state,dt,4,5.6716290278797422e-04
6-state,dt,5,1.2498581803177606e-04
6-state,dt,6,1.2494465369212678e-04
